Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
81,"Wednesday, Jun 26",boxscore,ATL,@,CHC,W,5,3,,48-33,1,up 5.5,Keuchel,Darvish,Minter,3:02,N,"38,017",1.23,++,
82,"Thursday, Jun 27",boxscore,ATL,@,CHC,L,7,9,,48-34,1,up 4.5,Chatwood,Tomlin,Kimbrel,3:02,D,"39,823",1.2,-,
83,"Friday, Jun 28",boxscore,ATL,@,NYM,W,6,2,,49-34,1,up 5.5,Soroka,deGrom,,2:55,N,"36,421",1.31,+,
84,"Saturday, Jun 29",boxscore,ATL,@,NYM,W,5,4,,50-34,1,up 6.5,Newcomb,Lugo,Jackson,3:39,D,"40,809",1.26,++,
85,"Sunday, Jun 30",boxscore,ATL,@,NYM,L,5,8,,50-35,1,up 5.5,Font,Newcomb,Diaz,3:27,N,"31,743",1.1,-,
86,"Tuesday, Jul 2",boxscore,ATL,,PHI,L,0,2,,50-36,1,up 4.5,Nola,Keuchel,Neris,2:48,N,"40,180",1.55,--,
87,"Wednesday, Jul 3",boxscore,ATL,,PHI,W,9,2,,51-36,1,up 5.5,Wilson,Pivetta,,2:36,N,"40,147",1.71,+,
88,"Thursday, Jul 4",boxscore,ATL,,PHI,W,12,6,,52-36,1,up 6.0,Minter,Eflin,,3:32,N,"40,633",1.54,++,
89,"Friday, Jul 5",boxscore,ATL,,MIA,W-wo,1,0,,53-36,1,up 6.5,Jackson,Quijada,,3:00,N,"41,102",1.1,+++,
90,"Saturday, Jul 6",boxscore,ATL,,MIA,L,4,5,,53-37,1,up 6.0,Smith,Fried,Romo,3:19,D,"37,216",1,-,
91,"Sunday, Jul 7",boxscore,ATL,,MIA,W,4,3,,54-37,1,up 6.0,Keuchel,Richards,Jackson,3:02,D,"30,514",1.14,+,
92,"Friday, Jul 12",boxscore,ATL,@,SDP,W,5,3,,55-37,1,up 6.0,Keuchel,Lamet,Jackson,3:03,N,"34,692",1.12,++,
93,"Saturday, Jul 13",boxscore,ATL,@,SDP,W,7,5,10,56-37,1,up 6.0,Newcomb,Perdomo,Jackson,4:05,N,"43,148",1.02,+++,
94,"Sunday, Jul 14",boxscore,ATL,@,SDP,W,4,1,,57-37,1,up 7.0,Soroka,Wingenter,Minter,3:15,D,"34,739",0.9,++++,
95,"Monday, Jul 15",boxscore,ATL,@,MIL,W,4,2,,58-37,1,up 7.5,Fried,Houser,Jackson,3:02,N,"31,850",0.87,+++++,
96,"Tuesday, Jul 16",boxscore,ATL,@,MIL,L,1,13,,58-38,1,up 6.5,Woodruff,Wilson,,3:29,N,"31,599",0.74,-,
97,"Wednesday, Jul 17",boxscore,ATL,@,MIL,L,4,5,,58-39,1,up 6.5,Anderson,Keuchel,Hader,3:07,D,"36,928",0.84,--,
98,"Thursday, Jul 18",boxscore,ATL,,WSN,L,4,13,,58-40,1,up 5.5,Strasburg,Wright,,3:44,N,"39,363",1.24,---,
99,"Friday, Jul 19",boxscore,ATL,,WSN,W-wo,4,3,,59-40,1,up 6.5,Jackson,Rodney,,3:30,N,"39,344",1.44,+,
100,"Saturday, Jul 20",boxscore,ATL,,WSN,L,3,5,,59-41,1,up 5.5,Sanchez,Soroka,Doolittle,3:14,N,"42,467",1.32,-,
101,"Sunday, Jul 21",boxscore,ATL,,WSN,W,7,1,,60-41,1,up 6.5,Gausman,Ross,,3:02,N,"31,848",1.43,+,
102,"Tuesday, Jul 23",boxscore,ATL,,KCR,L,4,5,,60-42,1,up 5.5,Hill,Swarzak,Kennedy,3:30,N,"36,570",0.95,-,
103,"Wednesday, Jul 24",boxscore,ATL,,KCR,L,0,2,,60-43,1,up 4.0,Keller,Teheran,Kennedy,2:43,N,"38,865",1.07,--,
104,"Friday, Jul 26",boxscore,ATL,@,PHI,W,9,2,,61-43,1,up 5.5,Newcomb,Arrieta,,3:02,N,"31,268",1.58,+,
105,"Saturday, Jul 27",boxscore,ATL,@,PHI,W,15,7,,62-43,1,up 6.5,Fried,Eflin,,3:34,N,"39,340",1.37,++,
106,"Sunday, Jul 28",boxscore,ATL,@,PHI,L,4,9,,62-44,1,up 5.5,Nola,Gausman,,3:13,D,"37,037",1.14,-,
107,"Monday, Jul 29",boxscore,ATL,@,WSN,L,3,6,,62-45,1,up 4.5,Corbin,Keuchel,,3:23,N,"24,292",1.43,--,
108,"Tuesday, Jul 30",boxscore,ATL,@,WSN,W,11,8,,63-45,1,up 5.5,Teheran,Fedde,,3:47,N,"26,566",1.64,+,
109,"Wednesday, Jul 31",boxscore,ATL,@,WSN,W,5,4,10,64-45,1,up 6.5,Newcomb,Doolittle,Tomlin,3:14,D,"31,576",1.42,++,
110,"Thursday, Aug 1",boxscore,ATL,,CIN,W,4,1,6,65-45,1,up 7.0,Fried,DeSclafani,,2:08,N,"28,677",0.91,+++,
111,"Friday, Aug 2",boxscore,ATL,,CIN,L,2,5,,65-46,1,up 6.0,Wood,Gausman,Iglesias,3:01,N,"37,743",0.82,-,
112,"Saturday, Aug 3",boxscore,ATL,,CIN,W-wo,5,4,10,66-46,1,up 7.0,Jackson,Hughes,,3:47,N,"42,085",0.91,+,
113,"Sunday, Aug 4",boxscore,ATL,,CIN,L,4,6,10,66-47,1,up 7.0,Stephenson,Greene,Hernandez,3:54,D,"33,083",0.83,-,
114,"Monday, Aug 5",boxscore,ATL,@,MIN,L-wo,3,5,,66-48,1,up 6.0,May,Martin,,3:01,N,"26,722",0.87,--,
115,"Tuesday, Aug 6",boxscore,ATL,@,MIN,W,12,7,,67-48,1,up 6.0,Foltynewicz,Berrios,,3:27,N,"36,721",1.04,+,
116,"Wednesday, Aug 7",boxscore,ATL,@,MIN,W,11,7,,68-48,1,up 6.0,Fried,Perez,,3:33,D,"35,682",0.93,++,
117,"Thursday, Aug 8",boxscore,ATL,@,MIA,L,2,9,,68-49,1,up 5.5,Hernandez,Keuchel,,3:04,N,"8,948",0.9,-,
118,"Friday, Aug 9",boxscore,ATL,@,MIA,W,8,4,,69-49,1,up 6.5,Teheran,Smith,,3:19,N,"8,057",0.95,+,
119,"Saturday, Aug 10",boxscore,ATL,@,MIA,L-wo,6,7,10,69-50,1,up 6.5,Brigham,Newcomb,,3:34,N,"29,720",0.83,-,
120,"Sunday, Aug 11",boxscore,ATL,@,MIA,W,5,4,,70-50,1,up 6.5,Foltynewicz,Noesi,Jackson,3:23,D,"12,338",0.93,+,
121,"Tuesday, Aug 13",boxscore,ATL,,NYM,W,5,3,,71-50,1,up 6.0,Fried,Wheeler,Melancon,3:18,N,"27,627",0.99,++,
122,"Wednesday, Aug 14",boxscore,ATL,,NYM,W,6,4,,72-50,1,up 6.0,Martin,Lugo,Blevins,3:15,N,"23,582",0.9,+++,
123,"Thursday, Aug 15",boxscore,ATL,,NYM,L,8,10,,72-51,1,up 5.5,Stroman,Teheran,Diaz,3:33,N,"25,424",0.78,-,
124,"Friday, Aug 16",boxscore,ATL,,LAD,L,3,8,,72-52,1,up 4.5,Kolarek,Newcomb,Urias,3:06,N,"41,413",0.82,--,
125,"Saturday, Aug 17",boxscore,ATL,,LAD,W,4,3,,73-52,1,up 5.5,Newcomb,Ryu,Melancon,3:17,N,"43,619",0.95,+,
126,"Sunday, Aug 18",boxscore,ATL,,LAD,W,5,3,,74-52,1,up 5.5,Swarzak,May,Melancon,3:11,D,"37,617",0.81,++,
127,"Tuesday, Aug 20",boxscore,ATL,,MIA,W,5,1,,75-52,1,up 6.0,Keuchel,Kinley,,3:00,N,"21,271",0.81,+++,
128,"Wednesday, Aug 21",boxscore,ATL,,MIA,W,5,0,,76-52,1,up 6.0,Teheran,Smith,,2:44,N,"23,537",0.7,++++,
129,"Thursday, Aug 22",boxscore,ATL,,MIA,W-wo,3,2,,77-52,1,up 6.0,Melancon,Stanek,,2:40,N,"23,967",0.7,+++++,
130,"Friday, Aug 23",boxscore,ATL,@,NYM,W,2,1,14,78-52,1,up 6.0,Jackson,Familia,Melancon,4:37,N,"31,437",0.75,++++++,
131,"Saturday, Aug 24",boxscore,ATL,@,NYM,W,9,5,,79-52,1,up 6.0,Tomlin,Brach,,3:14,N,"38,300",0.61,+++++++,
132,"Sunday, Aug 25",boxscore,ATL,@,NYM,W,2,1,,80-52,1,up 6.0,Keuchel,Matz,Melancon,2:45,D,"30,170",0.59,++++++++,
133,"Monday, Aug 26",boxscore,ATL,@,COL,L-wo,1,3,,80-53,1,up 5.5,Diaz,Swarzak,,3:27,D,"29,803",0.52,-,2019-04-10 (Inclement weather)
134,"Tuesday, Aug 27",boxscore,ATL,@,TOR,L,1,3,,80-54,1,up 5.5,Godley,Soroka,Giles,2:57,N,"24,578",0.55,--,
135,"Wednesday, Aug 28",boxscore,ATL,@,TOR,W,9,4,,81-54,1,up 5.5,Jackson,Waguespack,,3:33,N,"23,112",0.59,+,
136,"Friday, Aug 30",boxscore,ATL,,CHW,W,10,7,,82-54,1,up 5.5,Fried,Nova,Melancon,3:28,N,"39,097",0.54,++,
137,"Saturday, Aug 31",boxscore,ATL,,CHW,W,11,5,,83-54,1,up 5.5,Keuchel,Lopez,,3:52,N,"36,664",0.54,+++,
138,"Sunday, Sep 1",boxscore,ATL,,CHW,W,5,3,,84-54,1,up 5.5,Teheran,Giolito,Melancon,3:08,N,"41,397",0.53,++++,
139,"Monday, Sep 2",boxscore,ATL,,TOR,W,6,3,,85-54,1,up 6.5,Soroka,Waguespack,Melancon,2:52,D,"28,987",0.52,+++++,
140,"Tuesday, Sep 3",boxscore,ATL,,TOR,W,7,2,,86-54,1,up 6.5,Foltynewicz,Font,,2:46,N,"25,427",0.4,++++++,
141,"Thursday, Sep 5",boxscore,ATL,,WSN,W,4,2,,87-54,1,up 8.0,Fried,Strasburg,,2:57,N,"28,831",0.5,+++++++,
142,"Friday, Sep 6",boxscore,ATL,,WSN,W,4,3,,88-54,1,up 9.0,Keuchel,Corbin,Greene,3:20,N,"37,181",0.33,++++++++,
143,"Saturday, Sep 7",boxscore,ATL,,WSN,W,5,4,,89-54,1,up10.0,Teheran,Voth,Melancon,3:29,N,"40,467",0.21,+++++++++,
